"EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","PERSON_ID","PERSON_NUMBER","BLOOD_TYPE","CORRESPONDENCE_LANGUAGE","START_DATE","DATE_OF_BIRTH","DATE_OF_DEATH","COUNTRY_OF_BIRTH","REGION_OF_BIRTH","TOWN_OF_BIRTH","SOURCESYSTEMOWNER","SOURCESYSTEMID","ACTIONCODE","REASONCODE","PERSONDUPLICATECHECK","RETIREMENTDATE"
"31-12-2010","31-12-4712",29336,"2015",,,"30-04-2009","06-09-1968",,,,,,,,,,
"31-12-2010","31-12-4712",29323,"2002",,,"30-04-2008","10-09-1968",,,,,,,,,,
"31-12-2008","31-12-4712",29324,"2003",,,"05-01-2007","28-02-1965",,,,,,,,,,
"31-12-2007","31-12-4712",13858,"1470",,,"30-04-2006","10-09-1959",,,,,,,,,,
"31-12-2007","31-12-4712",13737,"1349",,,"30-04-2006","10-09-1959",,,,,,,,,,
"31-12-2005","31-12-4712",9085,"1001",,,"13-04-2005","21-08-1971",,,,,,,,,,
"31-12-2005","31-12-4712",9086,"1002",,,"03-04-2005","03-01-1966",,,,,,,,,,
"31-12-2004","31-12-4712",23321,"228",,,"12-12-2004","12-12-1966",,,,,,,,,,
"31-12-2003","31-12-4712",23355,"262",,,"19-06-2003","22-10-1955",,,,,,,,,,
"31-12-2002","31-12-4712",5008,"457",,,"12-04-2002","21-01-1969",,,,,,,,,,
"31-12-2002","31-12-4712",7007,"846",,,"14-02-1975","19-06-1936",,,,,,,,,,
"31-10-2008","31-12-4712",23365,"272",,,"31-10-2008","10-09-1959",,,,,,,,,,
"31-08-2007","31-12-4712",14097,"154",,,"01-01-2001","19-06-1951",,,,,,,,,,
"31-08-2005","31-12-4712",18723,"1568",,,"08-02-2004","13-12-1978",,,,,,,,,,
"31-08-2005","31-12-4712",14157,"1511",,,"02-01-2001","20-04-1976",,,,,,,,,,
"31-08-2005","31-12-4712",12873,"1274",,,"15-03-2003","12-12-1970",,,,,,,,,,
"31-08-2002","31-12-4712",23310,"217",,,"11-02-2000","19-06-1951",,,,,,,,,,
"31-08-2002","31-12-4712",11032,"1165",,,"02-01-1999","22-10-1955",,,,,,,,,,
"31-08-2000","31-12-4712",3533,"339",,,"31-08-2000","10-08-1968",,,,,,,,,,
"31-08-2000","31-12-4712",3532,"338",,,"31-08-2000","10-08-1968",,,,,,,,,,
"31-08-2000","31-12-4712",3531,"337",,,"31-08-2000","10-08-1968",,,,,,,,,,
"31-08-2000","31-12-4712",3530,"336",,,"31-08-2000","10-08-1968",,,,,,,,,,
"31-08-2000","31-12-4712",6517,"589",,,"31-08-2000","12-12-1941",,,,,,,,,,
"31-08-2000","31-12-4712",10908,"1086",,,"10-06-1997","04-04-1962",,,,,,,,,,
"31-08-2000","31-12-4712",11069,"1190",,,"10-06-1997","04-04-1962",,,,,,,,,,
"31-08-1998","31-12-4712",1563,"217",,,"31-08-1998","14-08-1967",,,,,,,,,,
"31-08-1998","31-12-4712",1562,"216",,,"31-08-1998","14-07-1965",,,,,,,,,,
"31-07-2010","31-12-4712",29412,"2091",,,"05-02-2008","10-08-1974",,,,,,,,,,
"31-07-2010","31-12-4712",29387,"2066",,,"14-02-2009","10-08-1960",,,,,,,,,,
"31-07-2008","31-12-4712",29397,"2076",,,"30-04-2008","04-04-1962",,,,,,,,,,
"31-07-2007","31-12-4712",13829,"1441",,,"14-02-2006","10-08-1960",,,,,,,,,,
"31-07-2006","31-12-4712",13777,"1389",,,"05-02-2006","10-08-1960",,,,,,,,,,
"31-07-2006","31-12-4712",14030,"87",,,"07-07-2005","19-06-1951",,,,,,,,,,
"31-07-2005","31-12-4712",13839,"1451",,,"30-04-2005","04-04-1962",,,,,,,,,,
"31-05-2010","31-12-4712",29332,"2011",,,"17-12-2008","19-06-1971",,,,,,,,,,
"31-05-2007","31-12-4712",13851,"1463",,,"17-12-2005","19-06-1951",,,,,,,,,,
"31-05-2006","31-12-4712",23330,"237",,,"29-06-2005","10-08-1960",,,,,,,,,,
"31-05-2005","31-12-4712",10945,"1123",,,"14-07-2004","04-04-1962",,,,,,,,,,
"31-05-2005","31-12-4712",14116,"173",,,"10-04-2002","10-08-1960",,,,,,,,,,
"31-03-2005","31-12-4712",14156,"1510",,,"02-01-2001","03-02-1972",,,,,,,,,,
"31-03-2002","31-12-4712",11019,"1152",,,"22-10-2000","19-06-1951",,,,,,,,,,
"31-03-2002","31-12-4712",11008,"1141",,,"09-02-2000","19-06-1951",,,,,,,,,,
"31-03-2002","31-12-4712",10619,"1058",,,"31-03-2002","19-06-1966",,,,,,,,,,
